date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2014-01-03,2014-03,8600,put,194,209,192,208,208,7,306,Friday
2014-01-03,2014-03,8600,call,137,144,127,131,131,262,2798,Friday
2014-02-05,2014-03,8600,put,360,440,354,409,409,160,2712,Wednesday
2014-02-06,2014-03,8600,put,351,394,351,375,375,88,2699,Thursday
2014-03-20,2014-06,8600,put,222,249,222,240,240,68,870,Thursday
2014-03-20,2014-06,8600,call,200,200,181,183,183,205,5057,Thursday
2014-05-26,2014-06,8600,call,455,455,418,442,442,175,6191,Monday
2014-05-27,2014-06,8600,call,448,461,432,455,455,199,6170,Tuesday
2014-09-18,2014-12,9200,put,222,222,200,203,203,133,2758,Thursday
2014-09-18,2014-12,9200,call,245,259,238,239,245,145,4937,Thursday
2014-10-13,2014-12,9200,put,424,570,424,550,550,88,2867,Monday
2014-10-14,2014-12,9200,put,550,550,530,530,530,56,2859,Tuesday
2015-01-06,2015-03,9200,put,227,315,227,297,297,239,2603,Tuesday
2015-01-06,2015-03,9200,call,115,180,115,140,140,190,3050,Tuesday
2015-01-23,2015-03,9200,call,347,368,347,353,353,213,3199,Friday
2015-01-26,2015-03,9200,call,346,355,333,351,351,97,3225,Monday
2015-03-19,2015-06,9700,put,200,203,172,172,172,344,323,Thursday
2015-03-19,2015-06,9700,call,235,250,229,250,250,107,107,Thursday
2015-04-27,2015-06,9700,call,420,458,395,439,439,166,2470,Monday
2015-04-28,2015-06,9700,call,439,440,388,391,402,65,2439,Tuesday
2015-06-18,2015-09,9200,put,456,468,456,458,458,4,1879,Thursday
2015-06-18,2015-09,9200,call,130,136,119,121,121,350,4250,Thursday
2015-07-24,2015-09,9200,put,570,620,540,580,590,146,1925,Friday
2015-07-27,2015-09,9200,put,620,765,620,710,730,133,1904,Monday
2015-07-28,2015-09,8600,put,344,344,215,245,245,355,2535,Tuesday
2015-07-28,2015-09,8600,call,119,165,113,139,139,360,701,Tuesday
2015-08-18,2015-09,8600,put,427,500,400,497,497,284,1869,Tuesday
2015-08-19,2015-09,8600,put,505,655,497,620,645,216,1814,Wednesday
2015-08-20,2015-09,8000,put,200,218,137,172,172,11390,11920,Thursday
2015-08-20,2015-09,8000,call,136,175,118,143,143,11402,4667,Thursday
2015-08-24,2015-09,8000,put,424,1100,380,695,695,5777,7773,Monday
2015-08-25,2015-09,8000,put,695,720,474,490,490,638,7356,Tuesday
2016-01-05,2016-03,8100,put,283,326,283,326,338,16,93,Tuesday
2016-01-05,2016-03,8100,call,252,252,234,234,232,9,62,Tuesday
2016-01-15,2016-03,8100,put,505,530,505,530,545,5,87,Friday
2016-01-18,2016-03,8100,put,535,560,435,437,422,6,89,Monday
2016-01-19,2016-03,7800,put,253,283,228,229,229,213,2713,Tuesday
2016-01-19,2016-03,7800,call,220,249,199,249,249,102,604,Tuesday
2016-02-18,2016-03,7800,call,515,560,486,515,515,211,1153,Thursday
2016-02-19,2016-03,7800,call,500,535,500,535,535,95,1173,Friday
2016-03-17,2016-06,8800,put,300,350,282,350,350,26,424,Thursday
2016-03-17,2016-06,8800,call,214,242,187,188,188,59,1210,Thursday
2016-04-29,2016-06,8800,put,480,530,480,510,530,15,231,Friday
2016-05-03,2016-06,8800,put,510,600,510,560,575,25,229,Tuesday
2016-05-04,2016-06,8300,put,213,297,200,239,239,471,1611,Wednesday
2016-05-04,2016-06,8300,call,120,130,75,95,95,1716,1370,Wednesday
2016-05-13,2016-06,8300,put,306,402,305,342,342,203,1601,Friday
2016-05-16,2016-06,8300,put,358,370,296,311,305,133,1603,Monday
2016-05-17,2016-06,8100,put,176,204,137,140,140,2546,8250,Tuesday
2016-05-17,2016-06,8100,call,120,156,100,156,156,4270,5766,Tuesday
2016-05-25,2016-06,8100,call,280,335,275,315,315,1106,7754,Wednesday
2016-05-26,2016-06,8100,call,335,335,286,307,307,400,7703,Thursday
2016-06-16,2016-09,8600,put,500,550,500,550,570,2,1589,Thursday
2016-06-16,2016-09,8600,call,107,110,78,86,86,602,4784,Thursday
2016-06-24,2016-09,8600,put,460,655,460,655,640,9,1584,Friday
2016-06-27,2016-09,8600,put,555,555,550,555,555,9,1583,Monday
2016-06-28,2016-09,8400,put,455,455,375,378,378,8,304,Tuesday
2016-06-28,2016-09,8400,call,162,188,155,184,181,27,2536,Tuesday
2016-08-01,2016-09,8400,call,600,605,600,605,630,6,2183,Monday
2016-08-02,2016-09,8400,call,605,610,595,595,595,8,2180,Tuesday
2017-01-04,2017-03,9300,put,195,216,195,206,212,17,66,Wednesday
2017-01-04,2017-03,9300,call,162,168,158,158,158,35,221,Wednesday
2017-02-10,2017-03,9300,call,315,394,315,374,374,193,1428,Friday
2017-02-02,2017-03,9300,call,276,278,190,190,190,147,1028,Thursday
2017-02-03,2017-03,9500,put,190,200,174,179,179,350,638,Friday
2017-02-03,2017-03,9500,call,100,117,96,109,109,861,4105,Friday
2017-02-15,2017-03,9500,call,259,337,259,337,337,611,4794,Wednesday
2017-02-03,2017-03,9500,call,100,117,96,109,109,861,4105,Friday
2017-02-06,2017-03,9500,put,163,174,128,139,139,939,1010,Monday
2017-02-06,2017-03,9500,call,121,149,108,135,135,1902,4154,Monday
2017-02-15,2017-03,9500,call,259,337,259,337,337,611,4794,Wednesday
2017-02-06,2017-03,9500,call,121,149,108,135,135,1902,4154,Monday
2017-02-07,2017-03,9500,put,143,149,127,129,129,922,1554,Tuesday
2017-02-07,2017-03,9500,call,133,142,123,140,140,744,4428,Tuesday
2017-02-15,2017-03,9500,call,259,337,259,337,337,611,4794,Wednesday
2017-02-07,2017-03,9500,call,133,142,123,140,140,744,4428,Tuesday
2017-02-08,2017-03,9500,put,128,155,122,127,127,1126,1767,Wednesday
2017-02-08,2017-03,9500,call,134,145,112,132,132,1503,4629,Wednesday
2017-02-15,2017-03,9500,call,259,337,259,337,337,611,4794,Wednesday
2017-02-08,2017-03,9500,call,134,145,112,132,132,1503,4629,Wednesday
2017-06-22,2017-12,10400,call,151,174,151,174,174,777,4942,Thursday
2017-06-22,2017-09,10400,call,68,83,68,83,83,1109,8973,Thursday
2017-06-26,2017-12,10400,call,170,268,170,264,264,409,4925,Monday
2017-06-27,2017-12,10400,call,262,280,253,259,259,183,4923,Tuesday
2018-01-03,2018-03,10800,put,242,242,220,220,220,73,655,Wednesday
2018-01-03,2018-03,10800,call,144,183,144,171,171,2184,4096,Wednesday
2018-01-19,2018-03,10800,call,362,406,362,406,406,139,4052,Friday
2018-01-22,2018-03,10800,call,402,476,391,476,476,113,4007,Monday
2018-01-23,2018-03,11200,put,175,205,173,185,185,1021,1232,Tuesday
2018-01-23,2018-03,11200,call,203,214,176,199,199,937,7315,Tuesday
2018-02-06,2018-03,11200,put,800,1300,182,920,890,1111,1399,Tuesday
2018-02-07,2018-03,11200,put,705,705,610,695,735,27,1397,Wednesday
2018-09-20,2018-12,10900,put,303,303,303,303,303,1,1,Thursday
2018-09-20,2018-12,10900,call,226,233,226,233,233,12,11,Thursday
2018-10-08,2018-12,10900,put,555,555,555,555,555,1,6660,Monday
2018-10-09,2018-12,10900,put,540,540,540,540,540,1,6659,Tuesday
2018-10-11,2018-12,10300,put,450,765,450,720,775,93,383,Thursday
2018-10-11,2018-12,10300,call,170,172,100,100,100,40,30,Thursday
2018-10-11,2018-12,10300,put,450,765,450,720,775,93,383,Thursday
2018-10-12,2018-12,10300,put,720,720,475,500,530,8,379,Friday
2018-10-15,2018-12,10000,put,399,406,374,389,416,56,9250,Monday
2018-10-15,2018-12,10000,call,243,252,241,249,249,84,1073,Monday
2018-10-26,2018-12,10000,put,635,720,635,650,665,25,9591,Friday
2018-10-29,2018-12,10000,put,635,635,610,610,625,16,9576,Monday
